province,census_division_name,city,odhf_facility_type,facilities
ns,Lunenburg,pleasnantville,Nursing and residential care facilities,1
ab,Unknown,medicine hat,Ambulatory health care services,2
ns,Lunenburg,bridgewater,Hospitals,1
ab,Unknown,viking,Nursing and residential care facilities,1
sk,Division No. 18,la ronge,Hospitals,1
on,Muskoka,bracebridge,Nursing and residential care facilities,4
ns,Kings,greenwich,Nursing and residential care facilities,1
on,Simcoe,wasaga beach,Nursing and residential care facilities,2
qc,Rivière-du-Loup,notre-dame-des-sept-douleurs,Ambulatory health care services,1
qc,Nord-du-Québec,gouvernement régional d'eeyou istchee baie-james,Ambulatory health care services,2
ns,Shelburne,sandy point,Nursing and residential care facilities,1
bc,Thompson-Nicola,kamloops,Hospitals,1
qc,Témiscamingue,ville-marie,Nursing and residential care facilities,2
mb,Division No.  5,killarney,Hospitals,1
qc,Les Moulins,mascouche,Ambulatory health care services,1
nb,Carleton,hartland,Nursing and residential care facilities,1
on,Elgin,georgina,Ambulatory health care services,1
on,Lanark,mississippi mills,Nursing and residential care facilities,4
on,Unknown,thorold,Ambulatory health care services,2
bc,Peace River,dawson creek,Nursing and residential care facilities,8
qc,Shawinigan,shawinigan,Hospitals,4
on,Renfrew,renfrew,Nursing and residential care facilities,4
mb,Division No.  1,pine falls,Hospitals,1
sk,Division No.  2,weyburn,Ambulatory health care services,3
on,Simcoe,stayner,Nursing and residential care facilities,3
bc,Greater Vancouver,west vancouver,Ambulatory health care services,4
bc,Okanagan-Similkameen,oliver,Nursing and residential care facilities,3
sk,Division No.  9,invermay,Nursing and residential care facilities,1
on,Bruce,walkerton,Ambulatory health care services,1
sk,Unknown,esterhazy,Hospitals,1
qc,Papineau,val-des-bois,Ambulatory health care services,1
on,Timiskaming,kirkland lake,Hospitals,1
qc,La Vallée-de-l'Or,malartic,Nursing and residential care facilities,1
sk,Unknown,shellbrook,Hospitals,1
qc,Unknown,amqui,Hospitals,1
sk,Division No. 18,sandy bay,Ambulatory health care services,1
bc,Capital,sooke,Ambulatory health care services,1
on,Renfrew,arnprior,Hospitals,1
bc,Unknown,westbank,Nursing and residential care facilities,1
nl,Division No.  5,corner brook,Hospitals,1
sk,Division No. 17,meadow lake,Nursing and residential care facilities,2
on,Sudbury,chapleau,Nursing and residential care facilities,2
qc,Québec,saint-augustin-de-desmaures,Ambulatory health care services,2
nb,Northumberland,neguac,Nursing and residential care facilities,1
qc,Beauharnois-Salaberry,salaberry-de-valleyfield,Ambulatory health care services,4
bc,Comox Valley,courtenay,Ambulatory health care services,2
qc,L'Assomption,repentigny,Hospitals,2
bc,Greater Vancouver,new westminster,Nursing and residential care facilities,9
qc,La Jacques-Cartier,saint-gabriel-de-valcartier,Nursing and residential care facilities,1
qc,Maskinongé,saint-élie-de-caxton,Ambulatory health care services,1
mb,Unknown,shamattawa,Hospitals,1
sk,Division No.  6,regina,Ambulatory health care services,36
sk,Division No.  9,theodore,Nursing and residential care facilities,1
qc,Abitibi,amos,Nursing and residential care facilities,2
qc,Nord-du-Québec,chibougamau,Nursing and residential care facilities,2
mb,Division No. 13,selkirk,Hospitals,1
yt,Yukon,dawson city,Hospitals,1
on,Niagara,grimsby,Nursing and residential care facilities,5
on,Wellington,mount forest,Nursing and residential care facilities,2
mb,Division No. 22,s thompson,Hospitals,1
on,Lanark,perth,Hospitals,1
qc,Longueuil,brossard,Nursing and residential care facilities,4
on,Haldimand-Norfolk,hagersville,Nursing and residential care facilities,1
qc,Lévis,lévis,Hospitals,6
ab,Division No.  3,fort macleod,Hospitals,1
on,Durham,beaverton,Nursing and residential care facilities,1
qc,Les Collines-de-l'Outaouais,val-des-monts,Ambulatory health care services,1
qc,Pontiac,shawville,Nursing and residential care facilities,1
sk,Unknown,tisdale,Nursing and residential care facilities,2
sk,Division No. 11,watrous,Hospitals,1
on,Nipissing,corbeil,Nursing and residential care facilities,1
on,Prescott and Russell,limoges,Nursing and residential care facilities,1
ab,Unknown,st albert,Nursing and residential care facilities,3
qc,Le Haut-Richelieu,henryville,Ambulatory health care services,2
on,Northumberland,warkworth,Nursing and residential care facilities,1
qc,Témiscouata,saint-michel-du-squatec,Nursing and residential care facilities,1
bc,Cowichan Valley,ladysmith,Nursing and residential care facilities,2
ns,Pictou,new glasgow,Hospitals,1
qc,Le Domaine-du-Roy,roberval,Hospitals,1
on,Simcoe,collingwood,Ambulatory health care services,3
qc,Les Basques,trois-pistoles,Nursing and residential care facilities,1
on,Elgin,saint thomas,Nursing and residential care facilities,6
qc,Charlevoix-Est,baie-sainte-catherine,Ambulatory health care services,1
on,Niagara,st catharines,Nursing and residential care facilities,17
ns,Hants,enfield,Nursing and residential care facilities,2
qc,Nord-du-Québec,salluit,Nursing and residential care facilities,1
bc,Unknown,richmond,Nursing and residential care facilities,1
on,Oxford,woodstock,Nursing and residential care facilities,8
sk,Division No. 14,kelvington,Nursing and residential care facilities,1
on,Prescott and Russell,lefaivre,Nursing and residential care facilities,1
qc,La Vallée-du-Richelieu,beloeil,Nursing and residential care facilities,3
on,Algoma,blind river,Hospitals,1
bc,Fraser Valley,chilliwack,Ambulatory health care services,4
sk,Division No. 18,pinehouse,Ambulatory health care services,1
ns,Cape Breton,sydney,Nursing and residential care facilities,7
on,Brant,hagersville,Ambulatory health care services,1
ab,Division No.  7,wainwright,Hospitals,1
pe,Prince,miscouche,Nursing and residential care facilities,1
qc,Les Pays-d'en-Haut,saint-sauveur,Ambulatory health care services,1
qc,Antoine-Labelle,rivière-rouge,Ambulatory health care services,1
qc,Charlevoix,saint-urbain,Ambulatory health care services,1
on,Unknown,dundas,Nursing and residential care facilities,1
ns,Inverness,inverness,Hospitals,1
qc,L'Assomption,charlemagne,Hospitals,1
on,Hamilton,hamilton,Nursing and residential care facilities,59
bc,Unknown,surrey,Nursing and residential care facilities,3
bc,Columbia-Shuswap,revelstoke,Hospitals,1
qc,Le Haut-Saint-François,weedon,Ambulatory health care services,1
on,Muskoka,huntsville,Hospitals,1
on,Simcoe,cedar point,Ambulatory health care services,1
qc,Les Sources,asbestos,Hospitals,1
nl,Unknown,happy valley-goose bay,Nursing and residential care facilities,1
bc,Central Kootenay,nelson,Nursing and residential care facilities,8
sk,Division No. 17,neilburg,Ambulatory health care services,1
on,Kawartha Lakes,kawartha lakes,Nursing and residential care facilities,12
on,Renfrew,pembroke,Ambulatory health care services,4
on,Niagara,fort erie,Ambulatory health care services,1
pe,Queens,eldon,Nursing and residential care facilities,1
pe,Prince,oleary,Ambulatory health care services,1
on,Hamilton,hamilton,Hospitals,9
qc,Le Saguenay-et-son-Fjord,chicoutimi,Hospitals,1
on,"Stormont, Dundas and Glengarry",maxville,Nursing and residential care facilities,1
on,Haldimand-Norfolk,port dover,Nursing and residential care facilities,1
ns,Pictou,pictou,Nursing and residential care facilities,2
sk,Division No.  7,herbert,Hospitals,1
bc,Capital,victoria,Nursing and residential care facilities,88
on,Frontenac,kingston,Ambulatory health care services,15
on,Kenora,kenora,Ambulatory health care services,11
mb,Division No. 15,birtle,Hospitals,1
bc,Unknown,williams lake,Nursing and residential care facilities,1
qc,Montréal,côte-saint-luc,Nursing and residential care facilities,3
sk,Division No. 12,biggar,Hospitals,2
ab,Division No.  6,sundre,Hospitals,1
ab,Unknown,cochrane,Nursing and residential care facilities,1
on,Waterloo,kitchener,Nursing and residential care facilities,24
on,Renfrew,eganville,Ambulatory health care services,1
ab,Unknown,airdrie,Nursing and residential care facilities,1
mb,Division No. 17,winnipegosis,Hospitals,1
bc,Okanagan-Similkameen,oliver,Hospitals,1
on,Algoma,wawa,Hospitals,1
ns,Lunenburg,barss corner,Nursing and residential care facilities,1
qc,Portneuf,saint-basile,Ambulatory health care services,1
qc,Le Domaine-du-Roy,saint-félicien,Nursing and residential care facilities,1
on,Huron,brussels,Nursing and residential care facilities,1
bc,Greater Vancouver,burnaby,Nursing and residential care facilities,44
on,Cochrane,matheson,Nursing and residential care facilities,1
mb,Division No. 15,hamiota,Hospitals,1
qc,Sept-Rivières--Caniapiscau,uashat,Ambulatory health care services,1
sk,Division No.  1,carnduff,Ambulatory health care services,1
sk,Division No.  4,maple creek,Hospitals,1
on,Algoma,garden river,Ambulatory health care services,2
on,Kenora,sioux lookout,Nursing and residential care facilities,1
on,Prince Edward,cherry valley,Nursing and residential care facilities,1
mb,Division No.  3,winkler,Ambulatory health care services,1
sk,Division No. 11,imperial,Nursing and residential care facilities,1
sk,Division No.  5,kipling,Hospitals,2
qc,Longueuil,brossard,Hospitals,1
on,"Stormont, Dundas and Glengarry",long sault,Nursing and residential care facilities,2
on,Lennox and Addington,tamworth,Nursing and residential care facilities,1
pe,Prince,summerside,Nursing and residential care facilities,6
qc,Bonaventure,caplan,Ambulatory health care services,1
on,Leeds and Grenville,kemptville,Nursing and residential care facilities,2
qc,Les Etchemins,lac-etchemin,Hospitals,1
ab,Unknown,myrnham,Hospitals,1
on,Kenora,kenora,Hospitals,1
on,Essex,leamington,Nursing and residential care facilities,7
sk,Division No. 15,kinistino,Nursing and residential care facilities,1
ns,Lunenburg,new germany,Nursing and residential care facilities,1
qc,L'Islet,l'islet,Ambulatory health care services,1
on,Essex,lakeshore,Nursing and residential care facilities,3
ns,Inverness,cheticamp,Hospitals,1
bc,Comox Valley,courtenay,Nursing and residential care facilities,8
qc,Le Domaine-du-Roy,mashteuiatsh,Nursing and residential care facilities,1
sk,Division No.  2,bengough,Nursing and residential care facilities,1
nb,Westmorland,port elgin,Nursing and residential care facilities,1
on,Durham,pickering,Ambulatory health care services,1
ns,Digby,meteghan,Nursing and residential care facilities,3
mb,Division No.  5,deloraine,Hospitals,1
bc,Central Kootenay,nelson,Hospitals,1
nb,Charlotte,black's harbour,Nursing and residential care facilities,1
bc,Cowichan Valley,cobble hill,Ambulatory health care services,1
bc,Unknown,west vancouver,Nursing and residential care facilities,1
on,Bruce,lions head,Hospitals,1
sk,Division No.  1,estevan,Nursing and residential care facilities,1
on,York,woodbridge,Hospitals,1
qc,Gatineau,gatineau,Hospitals,13
nb,Victoria,grand-sault,Nursing and residential care facilities,1
bc,Unknown,burnaby,Nursing and residential care facilities,2
on,Unknown,orangeville,Nursing and residential care facilities,1
on,Niagara,lincoln,Ambulatory health care services,1
on,Niagara,lincoln,Nursing and residential care facilities,4
ab,Division No. 19,grande prairie,Hospitals,2
on,Rainy River,fort frances,Ambulatory health care services,3
mb,Division No.  9,portage la prairie,Hospitals,1
qc,Roussillon,sainte-catherine,Nursing and residential care facilities,1
on,Dufferin,orangeville,Ambulatory health care services,3
on,Parry Sound,dokis,Ambulatory health care services,1
ns,Annapolis,wilmot,Nursing and residential care facilities,1
ns,Halifax,sheet harbour,Nursing and residential care facilities,1
ab,Unknown,stony plain,Nursing and residential care facilities,1
bc,Fraser-Fort George,valemount,Ambulatory health care services,2
sk,Division No. 11,watrous,Nursing and residential care facilities,1
qc,Rivière-du-Loup,l'isle-verte,Ambulatory health care services,1
on,Muskoka,gravenhurst,Ambulatory health care services,1
sk,Division No.  6,regina beach,Ambulatory health care services,1
ab,Division No. 15,blairmore,Hospitals,1
bc,Peace River,fort st john,Hospitals,1
nl,Unknown,brookfield,Hospitals,1
on,Kenora,pawitik,Ambulatory health care services,2
qc,Les Pays-d'en-Haut,saint-sauveur,Nursing and residential care facilities,2
on,Niagara,niagara-on-the-lake,Nursing and residential care facilities,3
on,Bruce,ripley,Nursing and residential care facilities,1
nl,Unknown,st anthony,Hospitals,1
pe,Prince,kensington,Ambulatory health care services,1
mb,Division No.  4,notre-dame-de-lourdes,Hospitals,1
ns,Colchester,truro,Nursing and residential care facilities,3
bc,Columbia-Shuswap,revelstoke,Nursing and residential care facilities,3
qc,Montmagny,cap-saint-ignace,Hospitals,1
sk,Division No.  7,moose jaw,Hospitals,2
qc,Rouville,marieville,Nursing and residential care facilities,1
qc,Vaudreuil-Soulanges,coteau-du-lac,Nursing and residential care facilities,2
bc,Central Coast,bella coola,Ambulatory health care services,1
nl,Division No.  1,old perlican,Hospitals,1
qc,Charlevoix-Est,la malbaie,Ambulatory health care services,2
qc,D'Autray,lavaltrie,Ambulatory health care services,1
on,Peel,brampton,Nursing and residential care facilities,24
qc,Bellechasse,sainte-claire,Ambulatory health care services,2
sk,Division No. 17,meadow lake,Hospitals,1
sk,Unknown,eatonia,Ambulatory health care services,1
mb,Unknown,york landing,Hospitals,1
mb,Division No. 22,,Ambulatory health care services,3
ns,Cape Breton,glace bay,Nursing and residential care facilities,3
qc,Sept-Rivières--Caniapiscau,fermont,Hospitals,2
on,Sudbury,french river,Ambulatory health care services,1
on,Haldimand-Norfolk,simcoe,Ambulatory health care services,4
sk,Division No. 15,middle lake,Nursing and residential care facilities,1
qc,Le Haut-Richelieu,saint-jean-sur-richelieu,Nursing and residential care facilities,6
qc,Les Collines-de-l'Outaouais,cantley,Ambulatory health care services,1
on,Kenora,dryden,Nursing and residential care facilities,1
qc,Montréal,montréal,Ambulatory health care services,55
on,Durham,port perry,Hospitals,1
on,Toronto,north york,Hospitals,3
ns,Shelburne,lockeport,Nursing and residential care facilities,1
on,Peterborough,peterborough,Hospitals,1
qc,Beauharnois-Salaberry,sainte-martine,Ambulatory health care services,1
qc,Brome-Missisquoi,cowansville,Ambulatory health care services,3
on,Algoma,sault ste marie,Ambulatory health care services,10
bc,Greater Vancouver,delta,Hospitals,1
sk,Division No. 16,hafford,Ambulatory health care services,1
qc,Le Haut-Richelieu,saint-alexandre,Ambulatory health care services,1
sk,Division No.  8,cabri,Nursing and residential care facilities,1
on,Prescott and Russell,casselman,Nursing and residential care facilities,1
sk,Division No. 16,north battleford,Hospitals,3
qc,Rivière-du-Loup,saint-cyprien,Nursing and residential care facilities,1
qc,Shawinigan,shawinigan-sud,Hospitals,1
nl,Division No. 10,labrador city,Ambulatory health care services,1
on,Lennox and Addington,greater napanee,Nursing and residential care facilities,2
ab,Unknown,rainbow lake,Hospitals,1
qc,Communauté maritime des Îles-de-la-Madeleine,les îles-de-la-madeleine,Ambulatory health care services,4
qc,La Rivière-du-Nord,prévost,Nursing and residential care facilities,3
ns,Halifax,middle musquodoboit,Hospitals,1
yt,Yukon,whitehorse,Nursing and residential care facilities,2
on,Grey,the blue mountains,Nursing and residential care facilities,1
ns,Guysborough,canso,Nursing and residential care facilities,1
on,Manitoulin,sheguiandah,Ambulatory health care services,1
ab,Division No.  8,ponoka,Hospitals,2
qc,Rivière-du-Loup,rivière-du-loup,Ambulatory health care services,3
sk,Division No. 15,wakaw,Nursing and residential care facilities,1
nb,Gloucester,robertville,Nursing and residential care facilities,1
on,York,georgina,Nursing and residential care facilities,2
qc,La Vallée-de-l'Or,malartic,Hospitals,2
bc,Fraser Valley,abbotsford,Hospitals,3
qc,Les Moulins,terrebonne,Hospitals,2
qc,Minganie--Le Golfe-du-Saint-Laurent,l'île-d'anticosti,Ambulatory health care services,1
nb,York,mcadam,Nursing and residential care facilities,1
on,Frontenac,sydenham,Ambulatory health care services,1
on,Haldimand-Norfolk,delhi,Ambulatory health care services,1
qc,Le Haut-Saint-François,la patrie,Ambulatory health care services,1
nb,Gloucester,lamèque,Hospitals,1
qc,Québec,québec,Nursing and residential care facilities,39
qc,La Matanie,matane,Nursing and residential care facilities,2
qc,Montmagny,montmagny,Nursing and residential care facilities,1
bc,Greater Vancouver,burnaby,Ambulatory health care services,13
on,Parry Sound,powassan,Ambulatory health care services,2
on,Niagara,smithville,Ambulatory health care services,1
bc,Skeena-Queen Charlotte,prince rupert,Nursing and residential care facilities,1
bc,Unknown,victoria,Nursing and residential care facilities,8
on,Peterborough,norwood,Nursing and residential care facilities,2
on,Niagara,niagara falls,Nursing and residential care facilities,14
on,Huron,exeter,Hospitals,1
nl,Division No.  4,stephenville,Hospitals,1
pe,Prince,tignish,Ambulatory health care services,1
on,Renfrew,barrys bay,Nursing and residential care facilities,2
on,Algoma,elliot lake,Nursing and residential care facilities,1
ab,Division No.  5,carmangay,Nursing and residential care facilities,1
on,Prince Edward,,Nursing and residential care facilities,3
qc,Témiscamingue,belleterre,Ambulatory health care services,1
sk,Division No. 14,kelvington,Hospitals,1
ns,Shelburne,barrington,Nursing and residential care facilities,1
bc,Comox Valley,comox,Hospitals,1
sk,Division No.  8,swift current,Nursing and residential care facilities,1
bc,Bulkley-Nechako,vanderhoof,Hospitals,1
on,Parry Sound,parry sound,Hospitals,1
on,Niagara,st catharines,Ambulatory health care services,10
mb,Division No.  7,souris,Hospitals,1
on,Lanark,almonte,Hospitals,1
on,Simcoe,shanty bay,Ambulatory health care services,1
on,Thunder Bay,osnaburgh,Ambulatory health care services,1
bc,Cariboo,100 mile house,Nursing and residential care facilities,1
on,Chatham-Kent,thamesville,Ambulatory health care services,1
on,Toronto,toronto,Hospitals,28
on,Huron,goderich,Hospitals,2
nl,Unknown,victoria cove,Ambulatory health care services,1
bc,Central Kootenay,nelson,Ambulatory health care services,2
nb,Victoria,perth-andover,Hospitals,1
on,Thunder Bay,manitouwadge,Ambulatory health care services,1
ns,Unknown,guysborough,Hospitals,1
ab,Division No. 16,fort mcmurray,Hospitals,2
on,Hamilton,hamilton,Ambulatory health care services,41
bc,Squamish-Lillooet,lillooet,Nursing and residential care facilities,1
on,Kenora,keewatin,Ambulatory health care services,1
qc,La Haute-Gaspésie,saint-maxime-du-mont-louis,Ambulatory health care services,1
ns,Pictou,stellarton,Nursing and residential care facilities,1
on,Kenora,dryden,Hospitals,1
sk,Unknown,humboldt,Nursing and residential care facilities,1
bc,Capital,saanichton,Hospitals,1
on,Peel,caledon,Nursing and residential care facilities,3
nu,Kivalliq,rankin inlet,Hospitals,1
ns,Victoria,neils harbour,Hospitals,1
on,York,holland landing,Ambulatory health care services,1
qc,Le Haut-Saint-François,east angus,Nursing and residential care facilities,1
qc,Joliette,saint-thomas,Nursing and residential care facilities,1
on,Kenora,sioux lookout,Hospitals,2
nb,Kent,saint-antoine,Nursing and residential care facilities,1
sk,Division No. 15,rosthern,Hospitals,1
qc,Nord-du-Québec,kangiqsujuaq,Ambulatory health care services,1
on,Niagara,fort erie,Nursing and residential care facilities,6
qc,La Mitis,les hauteurs,Ambulatory health care services,1
yt,Yukon,carcross,Ambulatory health care services,1
sk,Unknown,weyakwin,Ambulatory health care services,1
bc,East Kootenay,fort steele,Nursing and residential care facilities,1
mb,Division No. 13,selkirk,Ambulatory health care services,6
qc,Vaudreuil-Soulanges,vaudreuil-dorion,Hospitals,1
qc,Kamouraska,saint-alexandre-de-kamouraska,Nursing and residential care facilities,1
bc,East Kootenay,kimberley,Nursing and residential care facilities,1
qc,Vaudreuil-Soulanges,rigaud,Ambulatory health care services,1
qc,L'Érable,plessisville,Ambulatory health care services,3
on,Huron,,Ambulatory health care services,1
mb,Unknown,pauingassi,Hospitals,1
qc,Minganie--Le Golfe-du-Saint-Laurent,rivière-saint-jean,Ambulatory health care services,1
on,Prescott and Russell,plantagenet,Nursing and residential care facilities,1
qc,D'Autray,saint-gabriel-de-brandon,Ambulatory health care services,1
sk,Division No.  5,melville,Ambulatory health care services,1
sk,Division No. 14,porcupine plain,Hospitals,1
sk,Division No.  5,kipling,Nursing and residential care facilities,1
bc,Greater Vancouver,surrey,Nursing and residential care facilities,62
nl,Division No.  7,,Ambulatory health care services,1
sk,Division No.  3,ponteix,Ambulatory health care services,1
mb,Unknown,garden hill,Hospitals,1
qc,Deux-Montagnes,deux-montagnes,Ambulatory health care services,1
qc,Deux-Montagnes,saint-eustache,Nursing and residential care facilities,2
bc,North Okanagan,armstrong,Nursing and residential care facilities,2
nb,Madawaska,saint léonard,Nursing and residential care facilities,1
on,York,richmond hill,Hospitals,1
on,Kenora,attawapiskat,Hospitals,1
qc,Le Rocher-Percé,port-daniel--gascons,Ambulatory health care services,1
on,Peterborough,lakefield,Nursing and residential care facilities,1
qc,La Matapédia,amqui,Hospitals,2
bc,Bulkley-Nechako,smithers,Nursing and residential care facilities,3
bc,Greater Vancouver,richmond,Hospitals,1
on,Rainy River,fort frances,Hospitals,1
bc,East Kootenay,invermere,Hospitals,1
qc,Bellechasse,saint-malachie,Nursing and residential care facilities,1
on,Wellington,west drayton,Ambulatory health care services,1
qc,Pontiac,otter lake,Ambulatory health care services,1
ns,Richmond,cleveland,Hospitals,1
on,Bruce,lions head,Nursing and residential care facilities,1
on,Lambton,wallaceburg,Ambulatory health care services,1
qc,Longueuil,saint-bruno-de-montarville,Nursing and residential care facilities,1
sk,Division No.  3,rockglen,Nursing and residential care facilities,1
mb,Division No.  2,saint pierre-jolys,Hospitals,1
mb,Division No.  7,brandon,Hospitals,1
on,Lanark,smiths falls,Ambulatory health care services,1
bc,Cariboo,100 mile house,Hospitals,1
sk,Division No.  6,indian head,Hospitals,1
bc,North Okanagan,vernon,Ambulatory health care services,2
on,Lambton,petrolia,Nursing and residential care facilities,3
qc,Les Laurentides,mont-tremblant,Nursing and residential care facilities,1
qc,La Vallée-de-l'Or,val-d'or,Ambulatory health care services,3
on,Grey,owen sound,Nursing and residential care facilities,11
nb,Charlotte,welshpool,Nursing and residential care facilities,1
qc,Lotbinière,saint-flavien,Ambulatory health care services,1
bc,Unknown,summerland,Nursing and residential care facilities,1
on,Haldimand-Norfolk,hagersville,Ambulatory health care services,1
sk,Division No.  5,esterhazy,Hospitals,1
on,Brant,brant,Ambulatory health care services,2
bc,Unknown,armstrong,Nursing and residential care facilities,1
bc,Skeena-Queen Charlotte,masset,Hospitals,2
on,Renfrew,arnprior,Nursing and residential care facilities,3
yt,Unknown,teslin,Ambulatory health care services,1
ab,Unknown,sylvan lake,Hospitals,1
qc,Minganie--Le Golfe-du-Saint-Laurent,saint-augustin,Ambulatory health care services,1
on,Sudbury,chapleau,Ambulatory health care services,2
on,Durham,bowmanville,Nursing and residential care facilities,4
qc,Drummond,wickham,Ambulatory health care services,1
on,Niagara,welland,Ambulatory health care services,5
sk,Division No. 18,creighton,Ambulatory health care services,1
ns,Antigonish,antigonish,Hospitals,1
on,Muskoka,bala,Ambulatory health care services,1
on,Prescott and Russell,embrun,Nursing and residential care facilities,2
on,Cochrane,matheson,Hospitals,1
nl,Unknown,lewisporte,Nursing and residential care facilities,1
on,Perth,stratford,Nursing and residential care facilities,7
sk,Unknown,wolseley,Nursing and residential care facilities,1
on,Essex,lakeshore,Ambulatory health care services,1
ab,Division No.  2,raymond,Hospitals,1
bc,Mount Waddington,port alice,Hospitals,1
qc,Québec,l'ancienne-lorette,Nursing and residential care facilities,1
nb,Northumberland,miramichi,Hospitals,1
mb,Division No. 16,rossburn,Hospitals,1
qc,L'Islet,sainte-perpétue,Nursing and residential care facilities,1
qc,Charlevoix,baie-saint-paul,Hospitals,2
nl,Division No.  8,springdale,Hospitals,1
qc,La Haute-Yamaska,granby,Ambulatory health care services,8
on,Haldimand-Norfolk,delhi,Nursing and residential care facilities,2
on,Unknown,welland,Ambulatory health care services,3
mb,Division No. 14,teulon,Ambulatory health care services,1
qc,Bécancour,fortierville,Nursing and residential care facilities,1
bc,Greater Vancouver,delta,Ambulatory health care services,3
qc,Maskinongé,louiseville,Ambulatory health care services,1
on,Prescott and Russell,russell,Nursing and residential care facilities,1
on,Huron,exeter,Nursing and residential care facilities,1
bc,Powell River,powell river,Hospitals,1
qc,Brome-Missisquoi,bromont,Ambulatory health care services,1
sk,Division No.  7,beechy,Ambulatory health care services,1
on,Middlesex,newbury,Hospitals,1
qc,Bellechasse,saint-gervais,Nursing and residential care facilities,1
sk,Division No.  3,assiniboia,Nursing and residential care facilities,1
sk,Unknown,leoville,Ambulatory health care services,1
on,Kenora,muskrat dam,Nursing and residential care facilities,1
qc,Coaticook,coaticook,Hospitals,1
qc,Nord-du-Québec,mistissini,Nursing and residential care facilities,2
ns,Halifax,sackville,Hospitals,1
nl,Division No.  8,lewisporte,Ambulatory health care services,2
mb,Division No. 18,eriksdale,Ambulatory health care services,1
sk,Unknown,whitecap,Ambulatory health care services,1
qc,Nicolet-Yamaska,saint-célestin,Nursing and residential care facilities,1
qc,Le Rocher-Percé,percé,Ambulatory health care services,2
on,Peterborough,harcourt,Nursing and residential care facilities,1
on,Timiskaming,kirkland lake,Nursing and residential care facilities,2
bc,Unknown,prince george,Nursing and residential care facilities,2
qc,Abitibi-Ouest,dupuy,Ambulatory health care services,1
ab,Unknown,fort saskatchewan,Nursing and residential care facilities,1
on,Hastings,stirling,Nursing and residential care facilities,2
ns,Cape Breton,new waterford,Hospitals,1
bc,Skeena-Queen Charlotte,prince rupert,Hospitals,1
on,"Stormont, Dundas and Glengarry",cornwall,Nursing and residential care facilities,13
on,Ottawa,ottawa,Ambulatory health care services,58
sk,Division No.  2,weyburn,Hospitals,2
mb,Division No.  9,st claude,Hospitals,1
qc,Rimouski-Neigette,rimouski,Nursing and residential care facilities,3
qc,Avignon,maria,Nursing and residential care facilities,1
bc,Fraser Valley,abbotsford,Ambulatory health care services,7
on,Middlesex,muncey,Ambulatory health care services,5
on,Durham,whitby,Ambulatory health care services,7
on,Manitoulin,gore bay,Nursing and residential care facilities,1
bc,Greater Vancouver,port moody,Nursing and residential care facilities,1
ab,Division No.  7,stettler,Hospitals,1
bc,Greater Vancouver,port coquitlam,Ambulatory health care services,1
qc,Les Appalaches,east broughton,Ambulatory health care services,1
qc,Bonaventure,new carlisle,Nursing and residential care facilities,1
qc,L'Érable,plessisville,Nursing and residential care facilities,3
on,Timiskaming,kirkland lake,Ambulatory health care services,2
ns,Cumberland,springhill,Nursing and residential care facilities,1
bc,Central Okanagan,kelowna,Nursing and residential care facilities,27
ns,Pictou,pictou,Hospitals,1
ab,Unknown,edmonton,Ambulatory health care services,18
ab,Division No.  8,rimbey,Hospitals,1
qc,Minganie--Le Golfe-du-Saint-Laurent,blanc-sablon,Ambulatory health care services,1
sk,Unknown,redvers,Ambulatory health care services,1
qc,Nord-du-Québec,tasiujaq,Ambulatory health care services,1
on,Rainy River,emo,Hospitals,1
bc,Unknown,sechelt,Nursing and residential care facilities,1
on,"Stormont, Dundas and Glengarry",alexandria,Nursing and residential care facilities,2
nb,Albert,riverside albert,Nursing and residential care facilities,1
on,Bruce,southampton,Hospitals,1
on,Lambton,sarnia,Nursing and residential care facilities,10
qc,Unknown,mansfield-et-pontefract,Hospitals,1
ns,Hants,upper nine mile river,Nursing and residential care facilities,1
mb,Division No.  4,cartwright,Hospitals,1
bc,Greater Vancouver,north vancouver,Ambulatory health care services,6
ab,Unknown,rocky mountain house,Nursing and residential care facilities,1
sk,Unknown,prince albert,Hospitals,1
sk,Division No. 11,watrous,Ambulatory health care services,1
on,"Stormont, Dundas and Glengarry",green valley,Nursing and residential care facilities,1
on,Niagara,welland,Nursing and residential care facilities,10
qc,Thérèse-De Blainville,sainte-thérèse,Nursing and residential care facilities,4
on,Oxford,tavistock,Nursing and residential care facilities,2
ab,Unknown,vegreville,Nursing and residential care facilities,1
on,Renfrew,barrys bay,Ambulatory health care services,1
on,Durham,oshawa,Nursing and residential care facilities,12
qc,Kamouraska,rivière-ouelle,Hospitals,1
on,Renfrew,golden lake,Ambulatory health care services,2
ab,Unknown,lethbridge,Nursing and residential care facilities,1
sk,Unknown,saskatoon,Ambulatory health care services,1
bc,East Kootenay,invermere,Nursing and residential care facilities,2
on,Lanark,pakenham,Nursing and residential care facilities,1
bc,Greater Vancouver,north vancouver,Hospitals,1
qc,La Vallée-du-Richelieu,saint-basile-le-grand,Nursing and residential care facilities,1
on,Kenora,dryden,Ambulatory health care services,4
sk,Unknown,gravelbourg,Hospitals,1
on,York,vaughan,Nursing and residential care facilities,18
bc,Kitimat-Stikine,kitimat,Nursing and residential care facilities,1
sk,Division No.  5,broadview,Hospitals,1
on,Brant,paris,Nursing and residential care facilities,1
on,Huron,zurich,Ambulatory health care services,1
on,Grey,meaford,Nursing and residential care facilities,1
